,Weights of regression,Bias of regression,Graph_index
52,"[0.00108735 0.00043268 0.0002346  0.00021264 0.00023331 0.00029205
 0.00011087 0.00018492 0.00024    0.00019168 0.00022529 0.00021648
 0.00043272 0.00020306 0.00015642 0.00043272 0.00028805 0.00022529
 0.00024056 0.00022749 0.00040574 0.00025435 0.00036751 0.000368
 0.00025433]",0.98012793,660
53,"[ 0.11953504 -0.06608374 -0.06629407 -0.0662943  -0.06627392 -0.06628366
 -0.06631039 -0.06628086 -0.06631082 -0.06629048 -0.06628802 -0.06608222
 -0.06629936 -0.06627236 -0.06631266 -0.06629245 -0.06628543 -0.06627529
 -0.06629615 -0.06626391  0.422157    0.42211914  0.42276335  0.42204922
  0.42285338]",0.019827485,665
54,"[ 0.12000126 -0.06704219 -0.06614794 -0.06769845 -0.06738907 -0.06540531
 -0.06542978 -0.06543545 -0.06543033 -0.06491479 -0.06538603 -0.06537593
 -0.06543075 -0.06533761 -0.06626809 -0.06543068 -0.06544709 -0.06628002
 -0.06542466 -0.06552665  0.42097238  0.42057186  0.4171121   0.4195596
  0.42034757]",0.019827664,670
55,"[6.22072257e-04 7.23645790e-05 2.24887015e-04 1.13925023e-04
 4.21928096e-04 2.24861433e-04 1.36092451e-04 4.21950681e-04
 2.74247810e-04 2.35811312e-04 2.24841351e-04 2.10093305e-04
 1.13895192e-04 1.04266073e-05 2.36367487e-04 2.36382504e-04
 2.35860411e-04 2.36380496e-04 1.04740175e-05 4.21487726e-04
 8.94675031e-04 1.05204905e-04 8.95888079e-04 8.96399491e-04
 1.05255313e-04]",0.98012793,675
56,"[1.6361923e-04 8.0736936e-05 2.9412561e-04 7.9787947e-05 3.0889164e-04
 3.0224997e-04 3.0510061e-04 3.0224083e-04 2.9438737e-04 9.1533191e-05
 2.9413935e-04 3.0223193e-04 3.0223723e-04 3.0226351e-04 3.0170282e-04
 3.0222532e-04 3.2323675e-05 3.0227582e-04 3.0201607e-04 3.0225937e-04
 5.0952908e-04 3.7928455e-04 4.8119290e-04 4.8119767e-04 3.7926590e-04]",0.980128,680
57,"[ 4.9590005e-04  1.6990816e-06  2.0853139e-03 -1.8872099e-04
  7.9560303e-04  3.7898077e-05  1.1604876e-05  3.7934777e-05
  2.0853234e-03  8.7221022e-05 -7.3808653e-05  8.7107794e-05
  1.3592877e-04 -7.3877251e-05  5.8260572e-05  1.3581960e-04
  1.8340704e-04  3.7913123e-05 -7.3850766e-05  5.9004815e-05
  3.6091631e-04  6.2091625e-05  4.5868522e-04  4.5868399e-04
  6.2071165e-05]",0.9801278,685
58,"[ 0.12109618 -0.06641815 -0.06635503 -0.0663695  -0.06635912 -0.06633694
 -0.06640451 -0.0664198  -0.06636859 -0.0664254  -0.06639177 -0.06642668
 -0.06638448 -0.0663752  -0.06637403 -0.06635757 -0.06632762 -0.06634805
 -0.06634207 -0.06637272  0.4225836   0.4226192   0.4225002   0.4218813
  0.42258662]",0.019827455,690
59,"[1.57633287e-04 1.65881473e-04 9.56441800e-05 1.04805804e-04
 1.16802330e-04 8.34305247e-05 8.15667881e-05 7.28795130e-05
 1.18106982e-04 7.96960521e-05 1.04691935e-04 1.04725856e-04
 8.15039384e-05 7.76080124e-05 7.81852577e-05 8.15495441e-05
 7.07136642e-05 7.82208081e-05 8.15019594e-05 9.19539889e-05
 2.50666798e-03 6.72438240e-04 7.65995472e-04 1.47705292e-03]",0.98012805,695
60,"[ 0.11828548 -0.0662068  -0.06616539 -0.06619346 -0.06621532 -0.06620556
 -0.06621008 -0.06622085 -0.0662446  -0.06620923 -0.06620362 -0.06621481
 -0.06620382 -0.0661798  -0.0662199  -0.06622447 -0.0662185  -0.06620708
 -0.06622    -0.0662071   0.4220294   0.42212728  0.42268124  0.4221602
  0.42287493]",0.019827604,400
61,"[ 0.12055191 -0.06465308 -0.06508379 -0.06481327 -0.06672006 -0.06481078
 -0.06477994 -0.06479628 -0.06480865 -0.06479946 -0.06481948 -0.06480954
 -0.06478972 -0.06481439 -0.06480953 -0.06479259 -0.06480092 -0.06480061
 -0.06481957 -0.06479637  0.42180982  0.421093    0.40015852  0.41802615
  0.41932005]",0.019827902,405
62,"[-0.00020732 -0.00064426  0.00040588  0.00047084  0.00037676  0.00037675
  0.00037681  0.00047092  0.00044275  0.00034695  0.0003768   0.00047096
  0.00034693  0.00040033  0.00034695  0.00040028  0.00044134  0.00047092
  0.00040038  0.0003469  -0.00013866 -0.00081877 -0.00075895 -0.000759
 -0.00081882]",0.98012817,410
63,"[ 0.12058196 -0.06604497 -0.06632247 -0.06633756 -0.06640654 -0.06632666
 -0.06633612 -0.06634561 -0.06632063 -0.06608184 -0.06631542 -0.06632788
 -0.06634012 -0.06631441 -0.06634665 -0.06632762 -0.06632818 -0.06632599
 -0.06639805 -0.06633087  0.42201582  0.4220375   0.42265385  0.4220469
  0.42277133]",0.019827574,415
64,"[5.8063463e-04 1.7670623e-04 1.7948536e-05 7.0422597e-05 3.0122511e-04
 1.9406289e-04 7.9704961e-04 2.7998476e-04 2.3990206e-04 2.9867940e-04
 2.8180986e-04 2.7841877e-04 2.7858233e-04 2.7837197e-04 2.7931770e-04
 2.7847567e-04 7.9712749e-04 2.9866691e-04 2.8173561e-04 2.3997064e-04
 3.4261227e-04 3.0428288e-04 3.1167353e-04 3.1164300e-04 3.0424801e-04]",0.9801279,420
65,"[ 0.12127467 -0.06506936 -0.06626938 -0.06641482 -0.06506725 -0.06640617
 -0.06639507 -0.0663782  -0.06639525 -0.06641013 -0.06645119 -0.06640548
 -0.06641225 -0.06640902 -0.0664035  -0.06641083 -0.06641436 -0.06637432
 -0.06641936 -0.06641142  0.42176497  0.4217601   0.42224422  0.42160377
  0.42230296]",0.019827425,425
66,"[ 0.1209908  -0.06551546 -0.06633094 -0.06634693 -0.06632234 -0.06632838
 -0.06631865 -0.06632843 -0.06632783 -0.06634    -0.06601107 -0.06603569
 -0.06634346 -0.06634115 -0.06634586 -0.06632839 -0.06634546 -0.06633405
 -0.06631932 -0.06633408  0.42201087  0.4220069   0.4219596   0.42189854
  0.42219585]",0.019827724,430
67,"[-0.0021761  -0.00030859  0.00010824 -0.00046229  0.00095878 -0.00029641
  0.00306691  0.00095963  0.00079465  0.0009591   0.00090125  0.00095904
 -0.00215311  0.00084771  0.00090116 -0.00209102  0.00089966  0.00089995
  0.00073178  0.00084779 -0.00153685 -0.00102358 -0.00119417 -0.00119422
 -0.00102385]",0.9801282,435
68,"[-5.5522332e-04 -1.1121763e-03  5.1194191e-04  5.1194639e-04
  1.0149465e-04  1.0648915e-04  5.5532524e-04  1.1469069e-04
  4.4628471e-04  1.3170228e-04  1.8772586e-04  5.1189773e-04
  5.5563630e-04  3.4290319e-04  4.5286879e-04  5.0736306e-04
  5.1199453e-04  5.0721993e-04  4.0941313e-04  9.9231664e-05
 -3.8719195e-04 -5.3577876e-04 -4.4134731e-04 -4.4137280e-04
 -5.3574552e-04]",0.9801283,440
69,"[ 5.6646852e-04  9.0652460e-04  2.0542531e-05  6.0555409e-05
  5.3956319e-05  2.1686670e-04  2.1911750e-04  2.1683364e-04
  2.4613127e-04  2.4613191e-04  2.1913912e-04  2.1683314e-04
  9.0654410e-04  2.1912149e-04  2.1912126e-04  2.1916561e-04
  2.4815148e-04 -6.7550602e-05  2.4814031e-04  2.1912326e-04
  7.7887764e-04  6.9724163e-05  8.0609054e-04  8.0607989e-04
  6.9737231e-05]",0.9801278,445
